name,latin_name,description,eatable,poinson,image
champignon,Agaricus bisporus,,1,,
oesterzwam,Pleurotus ostreatus,,1,,
tropische beurszwam,Volvariella volvacea,,1,,
shiitake,Lentinus edodes,,1,,
morielje,Gyromitra esculenta,,1,,
cantharel,Cantharellus cibarius,,1,,
gewoon eekhoorntjesbrood,Boletus edulis,,1,,
Truffels,Ascomycetes,,1,,
zwavelzwam,Laetiporus sulphureus,,1,,
geschubde inktzwam,Coprinus comatus,,1,,
gewone fluweelpootje,Flammulina velutipes,,1,,
gordijnzwam,Cortinarius praestans,,1,,
doodstrompet,Craterella cornucopioides,,1,,
Anijschampignon,Agaricus arvensis,,1,,
Reuzenchampignon,Agaricus augustus,,1,,
Appelrussula,Russula paludosa,,1,,
Biefstukzwam,Fistulina hepatica,,1,,
Gele stekelzwam,Hydnum repandum,,1,,
Gewone fopzwam,Laccaria laccata,,1,,
Grote parasolzwam,Macrolepiota procera,,1,,
Grote sponszwam,Sparassis crispa,,1,,
Grote stinkzwam,Phallus impudicus,,1,,
Judasoor,Auricularia auricula-judae,,1,,
Kastanjeboleet,Boletus badius,,1,,
Knolparasolzwam,Macrolepiota rhacodes,,1,,
Koeienboleet,Suillus bovinus,,1,,
Paarse schijnridderzwam,Lepista nuda,,1,,
Paarssteelschijnridderzwam,Lepista saeva,,1,,
Parelamaniet,Amanita rubescens,,1,,
Pruikzwam,Hericium erinaceus,,1,,
Regenboogrussula,Russula cyanoxantha,,1,,
Reuzenbovist,Langermannia gigantea,,1,,
Roodbruine slanke amaniet,Amanita fulva,,1,,
Voorjaarspronkridder,Calocybe gambosa,,1,,
Weidechampignon,Agaricus campestris,,1,,
Zwavelzwam,Laetiporus sulphureus,,1,,
Smakelijke russula,Russula vesca,,1,,
Zwartwitte veldridderzwam,Melanoleuca polioleuca,,1,,
Parelhoenchampignon,Agaricus praeclaresquamosus,,0,,
Karbolchampignon,Agaricus xanthodermus,,0,,
Narcisamaniet,Amanita gemmata,,0,,
Vliegenzwam,Amanita muscaria,,0,,
Panteramaniet,Amanita pantherina,,0,,
Groene knolamaniet,Amanita phalloides,,0,,
Porfieramaniet,Amanita porphyria,,0,,
Voorjaarsamaniet,Amanita verna,,0,,
Kleverige knolamaniet,Amanita virosa,,0,,
Netstelige heksenboleet,Boletus luridus,,0,,
Satansboleet,Boletus satanas,,0,,
Witte trechterzwammen,Clitocybe,,0,,
Witte bundelridderzwam,Clitocybe connata,,0,,
Grote bostrechterzwam,Clitocybe phyllophila,,0,,
Grote kale inktzwam,Coprinopsis atramentaria,,0,,
Berkenzwam,Coriolus muscaria,,0,,
Gordijnzwammen,,,0,,
Vermiljoengordijnzwam,Cortinarius cinnabarinus,,0,,
Pagemantel,Cortinarius semisanguineus,,0,,
Satijnzwam,Entoloma sinuatum,,0,,
Bundelmosklokje,Galerina marginata,,0,,
Prachtvlamhoed,Gymnopilus junonius,,0,,
Voorjaarskluifzwam,Gyromitra esculenta,,0,,
Radijsvaalhoed,Hebeloma crustuliniforme,,0,,
Witte kluifzwam,Helvella crispa,,0,,
Zwarte kluifzwam,Helvella lacunosa,,0,,
Gewone zwavelkop,Hypholoma fasciculare,,0,,
Vezelkoppen,,,0,,
Sterspoorvezelkop,Inocybe asterospora,,0,,
Giftige vezelkop,Inocybe erubescens,,0,,
Witte satijnvezelkop,Inocybe geophylla,,0,,
Zandpad vezelkop,Inocybe lacera,,0,,
Geelbruine spleetvezelkop,Inocybe rimosa,,0,,
Parasolzwammen,Lepiota,,0,,
Spitsschubbige parasolzwam,Lepiota aspera,,0,,
Kastanjeparasolzwam,Lepiota castanea,,0,,
Gewoon elfenschermpje,Mycena pura,,0,,
Zwartbruine vlekplaat,Panaeolus ater,,0,,
Grauwe vlekplaat,Panaeolus fimicola,,0,,
Gazonvlekplaat,Panaeolus foenisecii,,0,,
Gewone krulzoom,Paxillus involutus,,0,,
Grauwgroene hertenzwam,Pluteus salicinus,,0,,
Kaalkopjes,Psilocybes,,0,,
Puntig kaalkopje,Psilocybe semilanceata,,0,,
Fraaie koraalzwam,Ramaria (Clavaria) formosa,,0,,
Duivelsbroodrussula,Russula drimeia,,0,,
Braakrussula,Russula emetica,,0,,
Blauwvoetstekelzwam,Sarcodon scabrosus,,0,,
Kroonbekerzwam,Sarcosphaera crassa,,0,,
Kleine aardappelbovist,Scleroderma areolatum,,0,,
Gele aardappelbovist,Scleroderma citrinum,,0,,
Wortelende aardappelbovist,Scleroderma verrucosum,,0,,
Oranje ridderzwam,Tricholoma aurantium,,0,,
Gele ridderzwam,Tricholoma equestre,,0,,
Narcisridderzwam,Tricholoma sulphureum,,0,,
Beukenridderzwam,Tricholoma ustale,,0,,
